1;Auvergne-Rhône-Alpes
2;Bourgogne-Franche-Comté
3;Bretagne
4;Centre-Val de Loire
5;Corse
6;Etranger
7;Grand Est
8;Guadeloupe
9;Guyane
10;Haut de France
11;Île-de-France
12;La Réunion
13;Martinique
14;Mayotte
15;Normandie
16;Nouvelle Aquitaine
17;Occitanie
18;Pays de la Loire
19;Provence-Alpes-Côte d'Azur
